deal_price,price_per_sqm,region_code,region_name,city,district,street,area,realestate_type_name,purpose_name,wall_material_name,floor,area_category,price_per_sqm_category,period_start_date,year_build,year,month
100000.0,21.8,30.0,Астраханская область,Солянка,Наримановский,Оптовая,4597.3,Здание,Нежилое здание,Блоки,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2009.0,2024,1
417072.0,2117.1,86.0,Ханты-Мансийский автономный округ,Сургут,Не указано,Федорова,197.0,Помещение,Нежилое помещение,Кирпич,,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2000.0,2024,1
3000000.0,5893.9,46.0,Курская область,Курск,город Курск,Верхняя Луговая,509.0,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2023.0,2024,1
6000.0,62.8,38.0,Иркутская область,Юрты,Тайшетский,Комсомольская,95.5,Здание,Нежилое здание,Не указано,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,2015.0,2024,1
905820.0,92.9,21.0,Чувашская Республика,Чебоксары,Не указано,Московский,9746.0,Здание,Нежилое здание,Не указано,4.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2008.0,2024,1
136666.68,10.9,51.0,Мурманская область,Мурманск,Не указано,Не указано,12524.2,Помещение,Нежилое помещение,Не указано,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
184000.0,343.5,76.0,Ярославская область,Тутаев,Тутаевский,50-летия Победы,535.6,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1980.0,2024,1
60742.0,1210.0,74.0,Челябинская область,Челябинск,Не указано,Героя России Родионова Е.Н.,50.2,Помещение,Нежилое помещение,Кирпич,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,2019.0,2024,1
211276.0,27.2,73.0,,Димитровград,Не указано,Курчатова,7773.1,Здание,Нежилое здание,Кирпич,5.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2018.0,2024,1
168300.0,364.0,11.0,Республика Коми,Печора,Не указано,Московская,462.4,Помещение,Нежилое помещение,Кирпич,,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1977.0,2024,1
4241700.0,7862.3,2.0,Республика Башкортостан,Уфа,Не указано,Беловежская,539.5,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2023.0,2024,1
2000000.0,833.7,27.0,Хабаровский край,Хабаровск,Не указано,Автономная,2398.9,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1987.0,2024,1
100000.0,66.0,21.0,Чувашская Республика,Чебоксары,Не указано,Тракторостроителей,1515.6,Здание,Нежилое здание,Кирпич,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1983.0,2024,1
52000.0,41.8,39.0,Калининградская область,Зеленоградск,Зеленоградский,Пушкина,1244.0,Здание,Нежилое здание,Блоки,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2004.0,2024,1
360000.0,5128.2,37.0,Ивановская область,Шуя,Не указано,Южное,70.2,Помещение,Нежилое помещение,Блоки,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,1994.0,2024,1
100000.0,2932.6,23.0,Краснодарский край,Краснодар,Не указано,им. Архитектора Ишунина,34.1,Помещение,Нежилое помещение,Не указано,1.0,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,2014.0,2024,1
22778400.0,6000.0,38.0,Иркутская область,Иркутск,Не указано,Гагарина,3796.4,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2014.0,2024,1
143850.0,500.0,62.0,Рязанская область,Семеновское,Рязанский,Школьная,287.7,Здание,Нежилое здание,Панели,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2014.0,2024,1
250000.0,34.1,5.0,Республика Дагестан,Джалган,Дербентский,Не указано,7337.6,Здание,Нежилое здание,Не указано,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2022.0,2024,1
32149.73,38.8,28.0,Амурская область,Тутаул,Тындинский,Не указано,828.6,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1989.0,2024,1
100230.0,780.0,67.0,Смоленская область,Смоленск,Не указано,Краснинское,128.5,Помещение,Нежилое помещение,Кирпич,,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2013.0,2024,1
720000.0,3362.9,23.0,Краснодарский край,Крымск,Крымский,Таманская,214.1,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2018.0,2024,1
45000.0,306.3,66.0,Свердловская область,Сухой Лог,Сухоложский,Кирова,146.9,Помещение,Нежилое помещение,Не указано,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1963.0,2024,1
3600000.0,2461.4,66.0,Свердловская область,Сысерть,Сысертский,Красногорская,1462.6,Здание,Нежилое здание,Не указано,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2020.0,2024,1
40000.0,154.0,30.0,Астраханская область,Лиман,Лиманский,Садовый,259.7,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1997.0,2024,1
