type,price,price_per_sqm,area,rooms,living_area,kitchen_area,gas,material,build_year,build_series_category,published,updated,level,levels,rubbish_chute,enterances,build_overlap,build_walls,heating,areaRating,city,remoute_from_center,agencyName,longitude,latitude
Многоквартирный дом,14000.0,318.0,44.0,1,19.0,10.0,Да,кирпич,2009.0,brick_series,2022-01-22,2022-02-03,6,9,0,5,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,2.241605245019777,ИП Ямбухтина Е.В.,47.927240000000005,56.64004
Квартира,9500.0,257.0,37.0,1,,10.0,unknown,кирпич,,unknown,2022-01-20,2022-02-09,8,9,0,0,0,0,0,3.6344512,Йошкар-Ола,4.233872588579157,Агентство недвижимости,47.821781,56.638515000000005
Многоквартирный дом,13000.0,289.0,45.0,1,,12.0,Да,кирпич,1989.0,other_series,2022-02-06,2022-02-10,5,9,Нет,5,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,3.5321463591370974,"Агентство недвижимости ""КЛЮЧ""",47.94091,56.623188
unknown,10500.0,300.0,35.0,1,18.0,9.0,unknown,кирпич,,unknown,2020-07-06,2022-02-08,1,9,0,0,0,Не заполнено,0,3.6344512,Йошкар-Ола,4.122055729932205,Первый Мега-магазин недвижимости,47.824311,56.633422
Многоквартирный дом,10000.0,238.0,42.0,2,27.0,6.0,Да,панель,1972.0,panel_series,2022-02-05,2022-02-10,5,5,Нет,6,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,2.900937053928512,Первый Мега-магазин недвижимости,47.844721,56.632902
Многоквартирный дом,8000.0,200.0,40.0,1,20.0,8.0,Да,панель,1996.0,unknown,2022-01-28,2022-02-06,2,9,Есть,3,0,Панельные,центральное,3.6344512,Йошкар-Ола,2.112116136056613,Первый Мега-магазин недвижимости,47.925201,56.638907
Многоквартирный дом,11000.0,183.0,60.0,2,35.0,10.0,Да,кирпич,1987.0,unknown,2022-01-11,2022-02-06,1,9,Нет,3,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.5828585148936618,Светлана,47.8654,56.63622900000001
Многоквартирный дом,8000.0,216.0,37.0,1,,9.0,Да,панель,1984.0,brick_series,2021-11-10,2022-02-07,3,5,Нет,4,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,3.993399181818922,Анастасия,47.950561,56.624608
Квартира,15000.0,375.0,40.0,1,,10.0,unknown,кирпич,,unknown,2022-02-08,2022-02-10,1,14,0,0,0,0,0,3.6344512,Йошкар-Ола,1.6430745765891634,Giks Nedvizhimost,47.864215,56.640629
Квартира,15000.0,375.0,40.0,1,17.0,9.0,unknown,кирпич,,unknown,2022-01-25,2022-02-06,6,10,0,0,0,0,0,3.6344512,Йошкар-Ола,1.696765766187706,"Риелторская компания ""Партнеры""",47.87671,56.625653
